Province;Total infected cases;Today infected cases;Deaths;Date
Thanh Hoa;176;0;0;16-Thg8-21
Lang Son;146;0;1;16-Thg8-21
Bac Lieu;130;0;0;16-Thg8-21
Thai Binh;115;0;0;16-Thg8-21
Quang Ninh;104;0;0;16-Thg8-21
Ninh Binh;103;0;0;16-Thg8-21
Son La;85;0;0;16-Thg8-21
Quang Binh;81;0;0;16-Thg8-21
Lao Cai;79;0;0;16-Thg8-21
Ha Nam;74;0;0;16-Thg8-21
Ca Mau;65;0;1;16-Thg8-21
Dien Bien;61;0;0;16-Thg8-21
Quang Tri;57;0;1;16-Thg8-21
Nam Dinh;46;0;0;16-Thg8-21
Hoa Binh;45;0;0;16-Thg8-21
Hai Phong;38;0;0;16-Thg8-21
Ha Giang;24;0;0;16-Thg8-21
Kon Tum;21;0;0;16-Thg8-21
Thai Nguyen;19;0;0;16-Thg8-21
Phu Tho;18;0;0;16-Thg8-21
Yen Bai;7;0;0;16-Thg8-21
Bac Kan;6;0;0;16-Thg8-21
Tuyen Quang;2;0;0;16-Thg8-21
Lai Chau;2;0;0;16-Thg8-21
Ho Chi Minh;152376;0;4912;17-Thg8-21
Binh Duong;46490;0;390;17-Thg8-21
Long An;14998;0;170;17-Thg8-21
Dong Nai;14305;0;99;17-Thg8-21
Bac Giang;5824;0;12;17-Thg8-21
Khanh Hoa;4741;0;31;17-Thg8-21
Dong Thap;4658;0;101;17-Thg8-21
Tien Giang;4497;0;144;17-Thg8-21
Tay Ninh;3720;0;8;17-Thg8-21
Ha Noi;2791;0;33;17-Thg8-21
Can Tho;2772;0;46;17-Thg8-21
Ba Ria - Vung Tau;2702;0;24;17-Thg8-21
Da Nang;2636;0;48;17-Thg8-21
Phu Yen;2157;0;0;17-Thg8-21
Bac Ninh;1792;0;15;17-Thg8-21
Vinh Long;1705;0;23;17-Thg8-21
Binh Thuan;1499;0;11;17-Thg8-21
Ben Tre;1342;0;28;17-Thg8-21
Hai Duong;929;0;0;17-Thg8-21
An Giang;908;0;1;17-Thg8-21
Tra Vinh;891;0;7;17-Thg8-21
Ninh Thuan;636;0;3;17-Thg8-21
Soc Trang;627;0;8;17-Thg8-21
Kien Giang;614;0;4;17-Thg8-21
Nghe An;524;0;1;17-Thg8-21
Quang Ngai;504;0;0;17-Thg8-21
Binh Dinh;484;0;4;17-Thg8-21
Dak Lak;449;0;2;17-Thg8-21
Gia Lai;400;0;0;17-Thg8-21
Quang Nam;400;0;5;17-Thg8-21
Hau Giang;359;0;2;17-Thg8-21
Thua Thien Hue;337;0;1;17-Thg8-21
Hung Yen;326;0;1;17-Thg8-21
Ha Tinh;320;0;2;17-Thg8-21
Binh Phuoc;315;0;1;17-Thg8-21
Vinh Phuc;254;0;1;17-Thg8-21
Lam Dong;197;0;0;17-Thg8-21
Dak Nong;194;0;0;17-Thg8-21
Thanh Hoa;182;0;0;17-Thg8-21
Lang Son;150;0;1;17-Thg8-21
Bac Lieu;132;0;0;17-Thg8-21
Thai Binh;115;0;0;17-Thg8-21
Ninh Binh;106;0;0;17-Thg8-21
Quang Ninh;104;0;0;17-Thg8-21
Son La;87;0;0;17-Thg8-21
Quang Binh;83;0;0;17-Thg8-21
Lao Cai;81;0;0;17-Thg8-21
Ha Nam;75;0;0;17-Thg8-21
Ca Mau;69;0;1;17-Thg8-21
Dien Bien;61;0;0;17-Thg8-21
Quang Tri;57;0;1;17-Thg8-21
Nam Dinh;52;0;0;17-Thg8-21
Hoa Binh;45;0;0;17-Thg8-21
Hai Phong;38;0;0;17-Thg8-21
Ha Giang;24;0;0;17-Thg8-21
Kon Tum;21;0;0;17-Thg8-21
Thai Nguyen;20;0;0;17-Thg8-21
Phu Tho;18;0;0;17-Thg8-21
Yen Bai;7;0;0;17-Thg8-21
Bac Kan;6;0;0;17-Thg8-21
Tuyen Quang;2;0;0;17-Thg8-21
Lai Chau;2;0;0;17-Thg8-21
Ho Chi Minh;155941;0;5197;18-Thg8-21
Binh Duong;49822;0;402;18-Thg8-21
Long An;15579;0;179;18-Thg8-21
Dong Nai;14603;0;105;18-Thg8-21
Bac Giang;5824;0;12;18-Thg8-21
Tien Giang;4908;0;151;18-Thg8-21
Khanh Hoa;4880;0;32;18-Thg8-21
Dong Thap;4829;0;104;18-Thg8-21
Tay Ninh;3808;0;8;18-Thg8-21
Can Tho;2944;0;50;18-Thg8-21
Ha Noi;2852;0;33;18-Thg8-21
Ba Ria - Vung Tau;2782;0;24;18-Thg8-21
Da Nang;2760;0;48;18-Thg8-21
Phu Yen;2228;0;0;18-Thg8-21
Bac Ninh;1814;0;15;18-Thg8-21
Vinh Long;1781;0;24;18-Thg8-21
Binh Thuan;1554;0;12;18-Thg8-21
Ben Tre;1352;0;29;18-Thg8-21
Tra Vinh;970;0;7;18-Thg8-21
An Giang;941;0;1;18-Thg8-21
Hai Duong;929;0;0;18-Thg8-21
Soc Trang;671;0;8;18-Thg8-21
Ninh Thuan;647;0;3;18-Thg8-21
Kien Giang;645;0;4;18-Thg8-21
Nghe An;540;0;1;18-Thg8-21
Quang Ngai;509;0;0;18-Thg8-21
Binh Dinh;496;0;5;18-Thg8-21
Dak Lak;473;0;2;18-Thg8-21
Gia Lai;426;0;0;18-Thg8-21
Quang Nam;411;0;5;18-Thg8-21
Hau Giang;359;0;2;18-Thg8-21
Ha Tinh;339;0;2;18-Thg8-21
Thua Thien Hue;338;0;1;18-Thg8-21
Hung Yen;326;0;1;18-Thg8-21
Binh Phuoc;318;0;1;18-Thg8-21
Vinh Phuc;254;0;1;18-Thg8-21
Lam Dong;200;0;0;18-Thg8-21
Dak Nong;194;0;0;18-Thg8-21
Thanh Hoa;194;0;0;18-Thg8-21
Lang Son;153;0;1;18-Thg8-21
Bac Lieu;135;0;0;18-Thg8-21
Thai Binh;116;0;0;18-Thg8-21
Ninh Binh;106;0;0;18-Thg8-21
Quang Ninh;104;0;0;18-Thg8-21
Son La;87;0;0;18-Thg8-21
Lao Cai;85;0;0;18-Thg8-21
Quang Binh;83;0;0;18-Thg8-21
Ha Nam;75;0;0;18-Thg8-21
Ca Mau;71;0;1;18-Thg8-21
Quang Tri;62;0;1;18-Thg8-21
Dien Bien;61;0;0;18-Thg8-21
Nam Dinh;52;0;0;18-Thg8-21
Hoa Binh;45;0;0;18-Thg8-21
Hai Phong;38;0;0;18-Thg8-21
Ha Giang;24;0;0;18-Thg8-21
Kon Tum;21;0;0;18-Thg8-21
Thai Nguyen;21;0;0;18-Thg8-21
Phu Tho;18;0;0;18-Thg8-21
Yen Bai;7;0;0;18-Thg8-21
Bac Kan;6;0;0;18-Thg8-21
Tuyen Quang;2;0;0;18-Thg8-21
Lai Chau;2;0;0;18-Thg8-21
Cao Bang;0;0;0;18-Thg8-21
Ho Chi Minh;159674;0;5452;19-Thg8-21
Binh Duong;52335;0;422;19-Thg8-21
Long An;16007;0;190;19-Thg8-21
Dong Nai;15046;0;106;19-Thg8-21
Bac Giang;5824;0;13;19-Thg8-21
Tien Giang;5190;0;151;19-Thg8-21
Khanh Hoa;4966;0;32;19-Thg8-21
Dong Thap;4860;0;105;19-Thg8-21
Tay Ninh;3912;0;8;19-Thg8-21
Can Tho;3035;0;52;19-Thg8-21
Ha Noi;2900;0;33;19-Thg8-21
Da Nang;2894;0;49;19-Thg8-21
Ba Ria - Vung Tau;2782;0;24;19-Thg8-21
Phu Yen;2293;0;0;19-Thg8-21
Vinh Long;1842;0;26;19-Thg8-21
Bac Ninh;1821;0;15;19-Thg8-21
Binh Thuan;1574;0;13;19-Thg8-21
Ben Tre;1424;0;31;19-Thg8-21
An Giang;1046;0;1;19-Thg8-21
Tra Vinh;970;0;7;19-Thg8-21
Hai Duong;929;0;0;19-Thg8-21
Kien Giang;814;0;5;19-Thg8-21
Soc Trang;671;0;8;19-Thg8-21
Ninh Thuan;655;0;3;19-Thg8-21
Nghe An;599;0;1;19-Thg8-21
Quang Ngai;518;0;0;19-Thg8-21
Binh Dinh;511;0;5;19-Thg8-21
Dak Lak;478;0;2;19-Thg8-21
Quang Nam;464;0;5;19-Thg8-21
Gia Lai;433;0;0;19-Thg8-21
Hau Giang;375;0;2;19-Thg8-21
Thua Thien Hue;355;0;1;19-Thg8-21
Ha Tinh;347;0;2;19-Thg8-21
Hung Yen;330;0;1;19-Thg8-21
Binh Phuoc;318;0;1;19-Thg8-21
Vinh Phuc;255;0;1;19-Thg8-21
Dak Nong;207;0;0;19-Thg8-21
Lam Dong;206;0;0;19-Thg8-21
Thanh Hoa;200;0;0;19-Thg8-21
Lang Son;154;0;1;19-Thg8-21
Bac Lieu;136;0;0;19-Thg8-21
Thai Binh;117;0;0;19-Thg8-21
Quang Ninh;107;0;0;19-Thg8-21
Ninh Binh;107;0;0;19-Thg8-21
Quang Binh;91;0;0;19-Thg8-21
Lao Cai;89;0;0;19-Thg8-21
Son La;89;0;0;19-Thg8-21
Ha Nam;75;0;0;19-Thg8-21
Quang Tri;74;0;1;19-Thg8-21
Ca Mau;73;0;1;19-Thg8-21
Dien Bien;62;0;0;19-Thg8-21
Nam Dinh;52;0;0;19-Thg8-21
Hoa Binh;45;0;0;19-Thg8-21
Hai Phong;38;0;0;19-Thg8-21
Ha Giang;24;0;0;19-Thg8-21
Kon Tum;21;0;0;19-Thg8-21
Thai Nguyen;21;0;0;19-Thg8-21
Phu Tho;18;0;0;19-Thg8-21
Yen Bai;7;0;0;19-Thg8-21
Bac Kan;7;0;0;19-Thg8-21
Tuyen Quang;2;0;0;19-Thg8-21
Lai Chau;2;0;0;19-Thg8-21
Cao Bang;0;0;0;19-Thg8-21
Ho Chi Minh;164099;0;5759;20-Thg8-21
Binh Duong;55590;0;467;20-Thg8-21
Long An;16552;0;207;20-Thg8-21
Dong Nai;15703;0;106;20-Thg8-21
Bac Giang;5831;0;13;20-Thg8-21
Tien Giang;5668;0;153;20-Thg8-21
Khanh Hoa;5121;0;32;20-Thg8-21
Dong Thap;5045;0;105;20-Thg8-21
Tay Ninh;4015;0;8;20-Thg8-21
Can Tho;3169;0;55;20-Thg8-21
Da Nang;3058;0;49;20-Thg8-21
Ha Noi;2953;0;33;20-Thg8-21
Ba Ria - Vung Tau;2782;0;24;20-Thg8-21
Phu Yen;2337;0;0;20-Thg8-21
Vinh Long;1902;0;28;20-Thg8-21
Bac Ninh;1825;0;15;20-Thg8-21
Binh Thuan;1617;0;15;20-Thg8-21
Ben Tre;1424;0;33;20-Thg8-21
An Giang;1116;0;1;20-Thg8-21
Tra Vinh;1021;0;7;20-Thg8-21
Hai Duong;931;0;0;20-Thg8-21
Kien Giang;831;0;5;20-Thg8-21
Soc Trang;671;0;8;20-Thg8-21
Ninh Thuan;662;0;3;20-Thg8-21
Nghe An;644;0;1;20-Thg8-21
Binh Dinh;535;0;5;20-Thg8-21
Quang Ngai;534;0;0;20-Thg8-21
Quang Nam;488;0;5;20-Thg8-21
Dak Lak;478;0;2;20-Thg8-21
Gia Lai;433;0;0;20-Thg8-21
Hau Giang;381;0;2;20-Thg8-21
Thua Thien Hue;355;0;1;20-Thg8-21
Ha Tinh;354;0;2;20-Thg8-21
Hung Yen;330;0;1;20-Thg8-21
Binh Phuoc;326;0;1;20-Thg8-21
Vinh Phuc;255;0;1;20-Thg8-21
Dak Nong;207;0;0;20-Thg8-21
Thanh Hoa;206;0;0;20-Thg8-21
Lam Dong;206;0;0;20-Thg8-21
Lang Son;155;0;1;20-Thg8-21
Bac Lieu;138;0;0;20-Thg8-21
Thai Binh;118;0;0;20-Thg8-21
Son La;115;0;0;20-Thg8-21
Ninh Binh;109;0;0;20-Thg8-21
Quang Ninh;107;0;0;20-Thg8-21
Quang Binh;95;0;0;20-Thg8-21
Lao Cai;89;0;0;20-Thg8-21
Quang Tri;83;0;1;20-Thg8-21
Ha Nam;75;0;0;20-Thg8-21
Ca Mau;73;0;1;20-Thg8-21
Dien Bien;62;0;0;20-Thg8-21
Nam Dinh;56;0;0;20-Thg8-21
Hai Phong;48;0;0;20-Thg8-21
Hoa Binh;45;0;0;20-Thg8-21
Ha Giang;24;0;0;20-Thg8-21
Thai Nguyen;21;0;0;20-Thg8-21
Kon Tum;21;0;0;20-Thg8-21
Phu Tho;18;0;0;20-Thg8-21
Yen Bai;7;0;0;20-Thg8-21
Bac Kan;7;0;0;20-Thg8-21
Tuyen Quang;2;0;0;20-Thg8-21
Lai Chau;2;0;0;20-Thg8-21
Cao Bang;0;0;0;20-Thg8-21
Ho Chi Minh;167476;0;6071;21-Thg8-21
Binh Duong;59813;0;508;21-Thg8-21
Long An;17047;0;215;21-Thg8-21
Dong Nai;16389;0;113;21-Thg8-21
Tien Giang;6035;0;160;21-Thg8-21
Bac Giang;5849;0;13;21-Thg8-21
Khanh Hoa;5268;0;35;21-Thg8-21
Dong Thap;5201;0;105;21-Thg8-21
Tay Ninh;4137;0;8;21-Thg8-21
Can Tho;3316;0;57;21-Thg8-21
Da Nang;3225;0;49;21-Thg8-21
Ha Noi;3025;0;34;21-Thg8-21
Ba Ria - Vung Tau;2839;0;25;21-Thg8-21
Phu Yen;2364;0;0;21-Thg8-21
Vinh Long;1925;0;28;21-Thg8-21
Bac Ninh;1835;0;15;21-Thg8-21
Binh Thuan;1646;0;16;21-Thg8-21
Ben Tre;1483;0;34;21-Thg8-21
An Giang;1227;0;1;21-Thg8-21
Tra Vinh;1068;0;8;21-Thg8-21
Hai Duong;931;0;1;21-Thg8-21
Kien Giang;845;0;5;21-Thg8-21
Nghe An;705;0;1;21-Thg8-21
Soc Trang;671;0;11;21-Thg8-21
Ninh Thuan;666;0;3;21-Thg8-21
Binh Dinh;549;0;5;21-Thg8-21
Quang Ngai;543;0;0;21-Thg8-21
Dak Lak;534;0;2;21-Thg8-21
Quang Nam;505;0;5;21-Thg8-21
Gia Lai;443;0;0;21-Thg8-21
Thua Thien Hue;416;0;1;21-Thg8-21
Hau Giang;381;0;2;21-Thg8-21
Ha Tinh;369;0;2;21-Thg8-21
Binh Phuoc;337;0;1;21-Thg8-21
Hung Yen;331;0;1;21-Thg8-21
Vinh Phuc;255;0;1;21-Thg8-21
Lam Dong;210;0;0;21-Thg8-21
Thanh Hoa;209;0;0;21-Thg8-21
Dak Nong;207;0;0;21-Thg8-21
Lang Son;162;0;1;21-Thg8-21
Bac Lieu;142;0;0;21-Thg8-21
Thai Binh;118;0;0;21-Thg8-21
Son La;117;0;0;21-Thg8-21
Ninh Binh;111;0;0;21-Thg8-21
Quang Ninh;107;0;0;21-Thg8-21
Quang Binh;102;0;0;21-Thg8-21
Lao Cai;90;0;0;21-Thg8-21
Quang Tri;84;0;1;21-Thg8-21
Ca Mau;80;0;1;21-Thg8-21
Ha Nam;76;0;0;21-Thg8-21
Dien Bien;62;0;0;21-Thg8-21
Nam Dinh;56;0;1;21-Thg8-21
Hai Phong;53;0;0;21-Thg8-21
Hoa Binh;45;0;0;21-Thg8-21
Ha Giang;24;0;0;21-Thg8-21
Thai Nguyen;21;0;0;21-Thg8-21
Kon Tum;21;0;0;21-Thg8-21
Phu Tho;18;0;0;21-Thg8-21
Yen Bai;7;0;0;21-Thg8-21
Bac Kan;7;0;0;21-Thg8-21
Tuyen Quang;2;0;0;21-Thg8-21
Lai Chau;2;0;0;21-Thg8-21
Cao Bang;0;0;0;21-Thg8-21
Ho Chi Minh;171581;0;6071;22-Thg8-21
Binh Duong;66436;0;508;22-Thg8-21
Long An;17440;0;215;22-Thg8-21
Dong Nai;16940;0;113;22-Thg8-21
Tien Giang;6624;0;160;22-Thg8-21
Bac Giang;5851;0;13;22-Thg8-21
Khanh Hoa;5344;0;35;22-Thg8-21
Dong Thap;5310;0;105;22-Thg8-21
Tay Ninh;4220;0;8;22-Thg8-21
Da Nang;3422;0;49;22-Thg8-21
Can Tho;3416;0;57;22-Thg8-21
Ha Noi;3101;0;34;22-Thg8-21
Ba Ria - Vung Tau;2896;0;25;22-Thg8-21
Phu Yen;2409;0;0;22-Thg8-21
Vinh Long;1925;0;28;22-Thg8-21
Bac Ninh;1838;0;15;22-Thg8-21
Binh Thuan;1689;0;16;22-Thg8-21
Ben Tre;1525;0;34;22-Thg8-21
An Giang;1299;0;1;22-Thg8-21
Tra Vinh;1092;0;8;22-Thg8-21
Hai Duong;932;0;1;22-Thg8-21
Kien Giang;888;0;5;22-Thg8-21
Nghe An;765;0;1;22-Thg8-21
Soc Trang;671;0;11;22-Thg8-21
Ninh Thuan;670;0;3;22-Thg8-21
Dak Lak;566;0;2;22-Thg8-21
Binh Dinh;549;0;5;22-Thg8-21
Quang Ngai;546;0;0;22-Thg8-21
Quang Nam;537;0;5;22-Thg8-21
Gia Lai;454;0;0;22-Thg8-21
Thua Thien Hue;422;0;1;22-Thg8-21
Hau Giang;393;0;2;22-Thg8-21
Ha Tinh;372;0;2;22-Thg8-21
Binh Phuoc;345;0;1;22-Thg8-21
Hung Yen;331;0;1;22-Thg8-21
Vinh Phuc;255;0;1;22-Thg8-21
Lam Dong;220;0;0;22-Thg8-21
Thanh Hoa;212;0;0;22-Thg8-21
Dak Nong;207;0;0;22-Thg8-21
Lang Son;169;0;1;22-Thg8-21
Bac Lieu;142;0;0;22-Thg8-21
Thai Binh;118;0;0;22-Thg8-21
Son La;117;0;0;22-Thg8-21
Ninh Binh;113;0;0;22-Thg8-21
Quang Ninh;107;0;0;22-Thg8-21
Quang Binh;106;0;0;22-Thg8-21
Lao Cai;90;0;0;22-Thg8-21
Ca Mau;86;0;1;22-Thg8-21
Quang Tri;84;0;1;22-Thg8-21
Ha Nam;76;0;0;22-Thg8-21
Dien Bien;62;0;0;22-Thg8-21
Nam Dinh;57;0;1;22-Thg8-21
Hai Phong;53;0;0;22-Thg8-21
Hoa Binh;45;0;0;22-Thg8-21
Ha Giang;24;0;0;22-Thg8-21
Thai Nguyen;21;0;0;22-Thg8-21
Kon Tum;21;0;0;22-Thg8-21
Phu Tho;19;0;0;22-Thg8-21
Yen Bai;7;0;0;22-Thg8-21
Bac Kan;7;0;0;22-Thg8-21
Lai Chau;2;0;0;22-Thg8-21
Tuyen Quang;2;0;0;22-Thg8-21
Cao Bang;0;0;0;22-Thg8-21
Ho Chi Minh;175994;0;6670;23-Thg8-21
Binh Duong;70242;0;570;23-Thg8-21
Long An;17805;0;219;23-Thg8-21
Dong Nai;17688;0;138;23-Thg8-21
Tien Giang;7284;0;182;23-Thg8-21
Bac Giang;5857;0;13;23-Thg8-21
Khanh Hoa;5504;0;35;23-Thg8-21
Dong Thap;5452;0;116;23-Thg8-21
Tay Ninh;4303;0;8;23-Thg8-21
Da Nang;3605;0;49;23-Thg8-21
Can Tho;3513;0;61;23-Thg8-21
Ha Noi;3112;0;36;23-Thg8-21
Ba Ria - Vung Tau;3003;0;26;23-Thg8-21
Phu Yen;2447;0;0;23-Thg8-21
Vinh Long;1974;0;29;23-Thg8-21
Bac Ninh;1849;0;15;23-Thg8-21
Binh Thuan;1736;0;16;23-Thg8-21
Ben Tre;1525;0;36;23-Thg8-21
An Giang;1368;0;1;23-Thg8-21
Tra Vinh;1131;0;8;23-Thg8-21
Hai Duong;932;0;1;23-Thg8-21
Kien Giang;903;0;6;23-Thg8-21
Nghe An;833;0;1;23-Thg8-21
Soc Trang;809;0;12;23-Thg8-21
Ninh Thuan;675;0;3;23-Thg8-21
Binh Dinh;569;0;5;23-Thg8-21
Dak Lak;566;0;2;23-Thg8-21
Quang Nam;553;0;5;23-Thg8-21
Quang Ngai;549;0;0;23-Thg8-21
Gia Lai;464;0;0;23-Thg8-21
Thua Thien Hue;422;0;2;23-Thg8-21
Hau Giang;400;0;2;23-Thg8-21
Ha Tinh;392;0;3;23-Thg8-21
Binh Phuoc;345;0;1;23-Thg8-21
Hung Yen;331;0;1;23-Thg8-21
Vinh Phuc;255;0;1;23-Thg8-21
Dak Nong;246;0;0;23-Thg8-21
Lam Dong;220;0;0;23-Thg8-21
Thanh Hoa;212;0;0;23-Thg8-21
Lang Son;174;0;1;23-Thg8-21
Bac Lieu;142;0;0;23-Thg8-21
Son La;132;0;0;23-Thg8-21
Thai Binh;119;0;0;23-Thg8-21
Ninh Binh;113;0;0;23-Thg8-21
Quang Ninh;107;0;0;23-Thg8-21
Quang Binh;106;0;0;23-Thg8-21
Lao Cai;96;0;0;23-Thg8-21
Ca Mau;96;0;1;23-Thg8-21
Quang Tri;87;0;1;23-Thg8-21
Ha Nam;76;0;0;23-Thg8-21
Dien Bien;62;0;0;23-Thg8-21
Nam Dinh;57;0;1;23-Thg8-21
Hai Phong;53;0;0;23-Thg8-21
Hoa Binh;45;0;0;23-Thg8-21
Ha Giang;24;0;0;23-Thg8-21
Thai Nguyen;21;0;0;23-Thg8-21
Kon Tum;21;0;0;23-Thg8-21
Phu Tho;19;0;0;23-Thg8-21
Yen Bai;7;0;0;23-Thg8-21
Bac Kan;7;0;0;23-Thg8-21
Lai Chau;2;0;0;23-Thg8-21
Tuyen Quang;2;0;0;23-Thg8-21
Cao Bang;0;0;0;23-Thg8-21
Ho Chi Minh;180245;0;7010;24-Thg8-21
Binh Duong;73425;0;604;24-Thg8-21
Dong Nai;18311;0;140;24-Thg8-21
Long An;18193;0;225;24-Thg8-21
Tien Giang;7743;0;182;24-Thg8-21
Bac Giang;5866;0;13;24-Thg8-21
Khanh Hoa;5749;0;35;24-Thg8-21
Dong Thap;5552;0;118;24-Thg8-21
Tay Ninh;4320;0;8;24-Thg8-21
Da Nang;3757;0;52;24-Thg8-21
Can Tho;3598;0;62;24-Thg8-21
Ba Ria - Vung Tau;3158;0;27;24-Thg8-21
Ha Noi;3153;0;36;24-Thg8-21
Phu Yen;2490;0;0;24-Thg8-21
Vinh Long;1984;0;29;24-Thg8-21
Bac Ninh;1851;0;15;24-Thg8-21
Binh Thuan;1772;0;16;24-Thg8-21
Ben Tre;1590;0;36;24-Thg8-21
An Giang;1443;0;1;24-Thg8-21
Tra Vinh;1165;0;8;24-Thg8-21
Kien Giang;960;0;6;24-Thg8-21
Nghe An;944;0;1;24-Thg8-21
Hai Duong;932;0;1;24-Thg8-21
Soc Trang;809;0;12;24-Thg8-21
Dak Lak;694;0;2;24-Thg8-21
Ninh Thuan;679;0;3;24-Thg8-21
Binh Dinh;588;0;5;24-Thg8-21
Quang Nam;561;0;5;24-Thg8-21
Quang Ngai;549;0;0;24-Thg8-21
Gia Lai;469;0;0;24-Thg8-21
Thua Thien Hue;439;0;2;24-Thg8-21
Hau Giang;400;0;2;24-Thg8-21
Ha Tinh;396;0;3;24-Thg8-21
Binh Phuoc;358;0;1;24-Thg8-21
Hung Yen;331;0;1;24-Thg8-21
Vinh Phuc;255;0;1;24-Thg8-21
Dak Nong;253;0;0;24-Thg8-21
Lam Dong;221;0;0;24-Thg8-21
Thanh Hoa;213;0;0;24-Thg8-21
Lang Son;174;0;1;24-Thg8-21
Son La;153;0;0;24-Thg8-21
Bac Lieu;147;0;0;24-Thg8-21
Thai Binh;119;0;0;24-Thg8-21
Ninh Binh;119;0;0;24-Thg8-21
Quang Binh;112;0;0;24-Thg8-21
Quang Ninh;107;0;0;24-Thg8-21
Ca Mau;97;0;1;24-Thg8-21
Lao Cai;96;0;0;24-Thg8-21
Quang Tri;87;0;1;24-Thg8-21
Ha Nam;77;0;0;24-Thg8-21
Dien Bien;62;0;0;24-Thg8-21
Nam Dinh;57;0;1;24-Thg8-21
Hai Phong;53;0;0;24-Thg8-21
Hoa Binh;45;0;0;24-Thg8-21
Phu Tho;28;0;0;24-Thg8-21
Ha Giang;24;0;0;24-Thg8-21
Kon Tum;21;0;0;24-Thg8-21
Thai Nguyen;21;0;0;24-Thg8-21
Bac Kan;7;0;0;24-Thg8-21
Yen Bai;7;0;0;24-Thg8-21
Lai Chau;2;0;0;24-Thg8-21
Tuyen Quang;2;0;0;24-Thg8-21
Cao Bang;0;0;0;24-Thg8-21
Ho Chi Minh;184879;0;7302;25-Thg8-21
Binh Duong;77053;0;639;25-Thg8-21
Dong Nai;19110;0;144;25-Thg8-21
Long An;18588;0;225;25-Thg8-21
Tien Giang;7836;0;185;25-Thg8-21
Khanh Hoa;5953;0;35;25-Thg8-21
Bac Giang;5869;0;13;25-Thg8-21
Dong Thap;5714;0;121;25-Thg8-21
Tay Ninh;4425;0;8;25-Thg8-21
Da Nang;3910;0;52;25-Thg8-21
Can Tho;3670;0;62;25-Thg8-21
Ba Ria - Vung Tau;3222;0;29;25-Thg8-21
Ha Noi;3219;0;36;25-Thg8-21
Phu Yen;2514;0;0;25-Thg8-21
Vinh Long;1950;0;29;25-Thg8-21
Bac Ninh;1854;0;15;25-Thg8-21
Binh Thuan;1828;0;17;25-Thg8-21
Ben Tre;1602;0;37;25-Thg8-21
An Giang;1485;0;2;25-Thg8-21
Tra Vinh;1171;0;8;25-Thg8-21
Kien Giang;1021;0;6;25-Thg8-21
Nghe An;972;0;1;25-Thg8-21
Hai Duong;932;0;1;25-Thg8-21
Soc Trang;851;0;14;25-Thg8-21
Dak Lak;715;0;2;25-Thg8-21
Ninh Thuan;683;0;4;25-Thg8-21
Binh Dinh;593;0;6;25-Thg8-21
Quang Nam;572;0;6;25-Thg8-21
Quang Ngai;550;0;0;25-Thg8-21
Gia Lai;472;0;0;25-Thg8-21
Thua Thien Hue;452;0;3;25-Thg8-21
Hau Giang;409;0;2;25-Thg8-21
Ha Tinh;406;0;3;25-Thg8-21
Binh Phuoc;378;0;1;25-Thg8-21
Hung Yen;331;0;1;25-Thg8-21
Vinh Phuc;255;0;1;25-Thg8-21
Dak Nong;253;0;0;25-Thg8-21
Lam Dong;226;0;0;25-Thg8-21
Thanh Hoa;218;0;0;25-Thg8-21
Lang Son;181;0;1;25-Thg8-21
Son La;162;0;0;25-Thg8-21
Bac Lieu;154;0;0;25-Thg8-21
Ninh Binh;119;0;0;25-Thg8-21
Thai Binh;119;0;0;25-Thg8-21
Quang Binh;114;0;0;25-Thg8-21
Quang Ninh;107;0;0;25-Thg8-21
Ca Mau;98;0;1;25-Thg8-21
Quang Tri;96;0;1;25-Thg8-21
Lao Cai;96;0;0;25-Thg8-21
Ha Nam;78;0;0;25-Thg8-21
Dien Bien;62;0;0;25-Thg8-21
Nam Dinh;57;0;1;25-Thg8-21
Hai Phong;57;0;0;25-Thg8-21
Hoa Binh;45;0;0;25-Thg8-21
Phu Tho;29;0;0;25-Thg8-21
Ha Giang;24;0;0;25-Thg8-21
Thai Nguyen;21;0;0;25-Thg8-21
Kon Tum;21;0;0;25-Thg8-21
Bac Kan;7;0;0;25-Thg8-21
Yen Bai;7;0;0;25-Thg8-21
Lai Chau;2;0;0;25-Thg8-21
Tuyen Quang;2;0;0;25-Thg8-21
Cao Bang;0;0;0;25-Thg8-21
Ho Chi Minh;190174;0;7568;26-Thg8-21
Binh Duong;81182;0;670;26-Thg8-21
Dong Nai;19728;0;157;26-Thg8-21
Long An;19048;0;241;26-Thg8-21
Tien Giang;8155;0;186;26-Thg8-21
Khanh Hoa;6103;0;36;26-Thg8-21
Bac Giang;5869;0;13;26-Thg8-21
Dong Thap;5807;0;121;26-Thg8-21
Tay Ninh;4544;0;8;26-Thg8-21
Da Nang;4072;0;55;26-Thg8-21
Can Tho;3760;0;62;26-Thg8-21
Ha Noi;3315;0;37;26-Thg8-21
Ba Ria - Vung Tau;3297;0;29;26-Thg8-21
Phu Yen;2541;0;0;26-Thg8-21
Vinh Long;2000;0;29;26-Thg8-21
Binh Thuan;1934;0;17;26-Thg8-21
Bac Ninh;1857;0;15;26-Thg8-21
Ben Tre;1602;0;38;26-Thg8-21
An Giang;1535;0;2;26-Thg8-21
Tra Vinh;1195;0;8;26-Thg8-21
Nghe An;1067;0;1;26-Thg8-21
Kien Giang;1044;0;6;26-Thg8-21
Hai Duong;932;0;1;26-Thg8-21
Soc Trang;855;0;14;26-Thg8-21
