"GEOID","state","income","income.moe","age","age.moe"
"05055","Arkansas",41286,1835,38.3,0.7
"05057","Arkansas",32122,2918,39.1,0.9
"05059","Arkansas",40000,2603,40.9,0.5
"05061","Arkansas",34229,3163,38.6,0.7
"05063","Arkansas",36265,1665,38.7,0.6
"05065","Arkansas",32630,2526,48.1,0.4
"05067","Arkansas",31261,2306,41,0.8
"05069","Arkansas",36747,1832,38.5,0.4
"05071","Arkansas",34139,3029,38.1,0.6
"05073","Arkansas",31194,2050,45,0.5
"05075","Arkansas",32379,2333,41.1,0.7
"05077","Arkansas",28393,3099,40.6,0.9
"05079","Arkansas",32580,3772,37.5,0.9
"05081","Arkansas",36205,2431,41.7,0.8
"05083","Arkansas",35325,2421,42.8,1
"05085","Arkansas",53631,1815,35.5,0.3
"05087","Arkansas",37691,2566,41.8,0.7
"05089","Arkansas",34195,1933,51.3,0.7
"05091","Arkansas",40317,1704,37.8,0.4
"05093","Arkansas",34612,1846,35.6,0.3
"05095","Arkansas",27647,2257,45.2,1.3
"05097","Arkansas",33037,3000,48.5,0.6
"05099","Arkansas",30691,6746,41.8,1.7
"05101","Arkansas",34536,4215,47.7,0.9
"05103","Arkansas",31293,2373,42.7,0.7
"05105","Arkansas",42346,4617,43.1,1.3
"05107","Arkansas",26844,1699,37.8,0.7
"05109","Arkansas",33097,2443,41.4,0.4
"05111","Arkansas",33070,2520,40.2,0.7
"05113","Arkansas",33702,1934,43.1,0.8
"05115","Arkansas",39810,2382,35.2,0.5
"05117","Arkansas",35833,3076,45.4,0.3
"05119","Arkansas",46140,890,36.4,0.2
"05121","Arkansas",34044,3141,42.9,1
"05123","Arkansas",32105,2438,37.5,0.5
"05125","Arkansas",55817,1634,38.7,0.4
"05127","Arkansas",37321,3360,41.3,0.9
"05129","Arkansas",33083,2407,47,0.5
"05131","Arkansas",38575,1454,36.9,0.3
"05133","Arkansas",36579,3298,34.9,0.4
"05135","Arkansas",30691,1775,47.2,0.7
"05137","Arkansas",29264,2701,48.5,0.7
"05139","Arkansas",38678,2741,39.7,0.4
"05141","Arkansas",32312,2393,47.1,0.5
"05143","Arkansas",43524,1412,31.2,0.3
